N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Año,Mes,Día,Hora
548370,2021-03-30 16:14:00,15528,United Kingdom,123,229.33,2021,3,30,16
575767,2021-11-11 11:11:00,17348,United Kingdom,163,209.73,2021,11,11,11
549106,2021-04-06 12:08:00,17045,United Kingdom,1,39.95,2021,4,6,12
573112,2021-10-27 15:33:00,16416,United Kingdom,357,344.83,2021,10,27,15
576630,2021-11-16 08:38:00,13816,Germany,91,199.98,2021,11,16,8
538125,2020-12-09 15:46:00,18225,United Kingdom,16,30.0,2020,12,9,15
544354,2021-02-18 10:42:00,13489,United Kingdom,64,77.28,2021,2,18,10
546369,2021-03-11 11:41:00,15513,United Kingdom,10,67.5,2021,3,11,11
570651,2021-10-11 13:34:00,14911,Eire,86,321.35,2021,10,11,13
575581,2021-11-10 11:53:00,12659,France,105,91.68,2021,11,10,11
580987,2021-12-06 16:35:00,17389,United Kingdom,96,720.0,2021,12,6,16
543754,2021-02-11 14:26:00,18159,United Kingdom,139,530.15,2021,2,11,14
563233,2021-08-14 15:56:00,17988,United Kingdom,1,2.95,2021,8,14,15
545417,2021-03-02 13:42:00,15622,United Kingdom,222,576.0,2021,3,2,13
576571,2021-11-15 13:48:00,12950,United Kingdom,164,311.6,2021,11,15,13
550623,2021-04-19 13:56:00,13719,United Kingdom,78,132.9,2021,4,19,13
576083,2021-11-14 08:22:00,17404,Sweden,1060,1238.48,2021,11,14,8
570733,2021-10-12 11:33:00,17190,United Kingdom,160,249.74,2021,10,12,11
537026,2020-12-03 16:35:00,12395,Belgium,528,346.1,2020,12,3,16
552837,2021-05-11 14:24:00,12901,United Kingdom,72,140.04,2021,5,11,14
550535,2021-04-19 11:19:00,14211,United Kingdom,72,155.6,2021,4,19,11
555213,2021-06-01 12:22:00,13094,United Kingdom,144,152.64,2021,6,1,12
549923,2021-04-13 09:59:00,13138,United Kingdom,72,193.62,2021,4,13,9
575198,2021-11-09 09:47:00,12921,United Kingdom,19,71.25,2021,11,9,9
569005,2021-09-29 18:30:00,16268,United Kingdom,465,493.76,2021,9,29,18
566307,2021-09-12 09:37:00,14307,United Kingdom,323,656.23,2021,9,12,9
539049,2020-12-15 16:21:00,15615,United Kingdom,364,1048.64,2020,12,15,16
580068,2021-12-01 13:41:00,17321,United Kingdom,5,41.25,2021,12,1,13
542745,2021-01-31 16:47:00,15881,United Kingdom,154,339.29,2021,1,31,16
575525,2021-11-10 11:06:00,13983,United Kingdom,72,128.88,2021,11,10,11
565682,2021-09-06 10:42:00,14796,United Kingdom,467,835.95,2021,9,6,10
562220,2021-08-03 14:19:00,15150,United Kingdom,108,304.42,2021,8,3,14
562002,2021-08-01 13:48:00,14567,United Kingdom,172,800.76,2021,8,1,13
538010,2020-12-09 12:20:00,17526,United Kingdom,40,226.8,2020,12,9,12
579089,2021-11-28 10:46:00,17920,United Kingdom,58,111.11,2021,11,28,10
560713,2021-07-20 13:09:00,16774,United Kingdom,56,160.8,2021,7,20,13
571098,2021-10-13 15:38:00,17841,United Kingdom,200,437.43,2021,10,13,15
574994,2021-11-08 11:03:00,17870,United Kingdom,62,143.11,2021,11,8,11
570257,2021-10-10 09:56:00,13767,United Kingdom,129,380.31,2021,10,10,9
541669,2021-01-20 12:29:00,17315,United Kingdom,172,331.76,2021,1,20,12
552404,2021-05-09 12:39:00,15932,United Kingdom,262,305.02,2021,5,9,12
566035,2021-09-08 13:17:00,12839,United Kingdom,286,413.58,2021,9,8,13
576911,2021-11-17 10:01:00,17461,United Kingdom,342,349.2,2021,11,17,10
572272,2021-10-21 16:18:00,13171,United Kingdom,60,132.54,2021,10,21,16
577783,2021-11-21 16:20:00,18139,United Kingdom,1644,2786.4,2021,11,21,16
578757,2021-11-25 11:41:00,12748,United Kingdom,256,420.41,2021,11,25,11
542351,2021-01-27 12:13:00,14560,United Kingdom,39,152.25,2021,1,27,12
559164,2021-07-06 16:39:00,16422,United Kingdom,406,587.46,2021,7,6,16
578150,2021-11-23 11:18:00,16020,United Kingdom,10,16.5,2021,11,23,11
558770,2021-07-03 15:19:00,12748,United Kingdom,60,115.55,2021,7,3,15
580386,2021-12-04 10:29:00,18065,United Kingdom,50,188.9,2021,12,4,10
570252,2021-10-10 09:14:00,14665,United Kingdom,238,559.52,2021,10,10,9
536782,2020-12-02 15:18:00,17567,United Kingdom,244,517.95,2020,12,2,15
551984,2021-05-05 14:37:00,15841,United Kingdom,234,281.66,2021,5,5,14
564476,2021-08-25 12:57:00,12610,Italy,168,309.5,2021,8,25,12
540353,2021-01-06 14:53:00,13764,United Kingdom,282,499.89,2021,1,6,14
558706,2021-07-01 12:52:00,16839,United Kingdom,320,416.96,2021,7,1,12
566278,2021-09-11 14:05:00,13614,United Kingdom,67,302.15,2021,9,11,14
540477,2021-01-07 14:49:00,13233,United Kingdom,404,304.24,2021,1,7,14
569695,2021-10-05 15:35:00,16843,United Kingdom,938,993.88,2021,10,5,15
538308,2020-12-10 13:29:00,14107,United Kingdom,268,363.24,2020,12,10,13
549054,2021-04-06 10:21:00,17719,United Kingdom,109,312.19,2021,4,6,10
555626,2021-06-06 11:55:00,16103,United Kingdom,92,270.8,2021,6,6,11
563921,2021-08-21 14:00:00,16407,United Kingdom,2,15.9,2021,8,21,14
563943,2021-08-22 10:04:00,13139,United Kingdom,268,540.92,2021,8,22,10
575854,2021-11-11 12:20:00,14125,United Kingdom,486,1111.08,2021,11,11,12
552764,2021-05-11 11:34:00,17489,United Kingdom,232,208.56,2021,5,11,11
571407,2021-10-17 12:16:00,13750,United Kingdom,85,330.63,2021,10,17,12
548208,2021-03-29 17:12:00,14189,United Kingdom,224,314.1,2021,3,29,17
556922,2021-06-15 13:56:00,12748,United Kingdom,5,14.25,2021,6,15,13
572076,2021-10-20 14:01:00,13761,United Kingdom,418,578.94,2021,10,20,14
544189,2021-02-16 16:40:00,15867,United Kingdom,36,133.0,2021,2,16,16
562543,2021-08-05 15:45:00,13552,United Kingdom,216,463.9,2021,8,5,15
573136,2021-10-27 17:00:00,12709,Germany,110,268.68,2021,10,27,17
558261,2021-06-28 08:39:00,16945,United Kingdom,24,10.08,2021,6,28,8
581482,2021-12-09 09:08:00,17490,United Kingdom,228,488.4,2021,12,9,9
559538,2021-07-10 12:25:00,16880,United Kingdom,135,269.49,2021,7,10,12
548862,2021-04-04 13:47:00,17956,United Kingdom,1,12.75,2021,4,4,13
565569,2021-09-05 12:21:00,14111,United Kingdom,18,48.3,2021,9,5,12
556047,2021-06-08 12:57:00,12901,United Kingdom,90,276.24,2021,6,8,12
548189,2021-03-29 15:15:00,16607,United Kingdom,163,141.41,2021,3,29,15
557213,2021-06-17 12:16:00,15021,United Kingdom,119,218.14,2021,6,17,12
571310,2021-10-17 10:17:00,13394,United Kingdom,463,371.73,2021,10,17,10
542254,2021-01-26 16:41:00,14733,United Kingdom,133,511.69,2021,1,26,16
548546,2021-03-31 19:20:00,16600,United Kingdom,186,111.6,2021,3,31,19
558563,2021-06-30 13:43:00,14561,United Kingdom,192,344.92,2021,6,30,13
546034,2021-03-09 09:44:00,14032,United Kingdom,291,309.64,2021,3,9,9
557602,2021-06-21 11:57:00,14110,United Kingdom,156,379.72,2021,6,21,11
544596,2021-02-21 17:35:00,16441,United Kingdom,110,211.0,2021,2,21,17
553006,2021-05-12 16:45:00,15544,United Kingdom,393,560.35,2021,5,12,16
542634,2021-01-31 10:42:00,15448,United Kingdom,232,494.64,2021,1,31,10
540536,2021-01-09 14:21:00,17757,United Kingdom,93,145.5,2021,1,9,14
536568,2020-12-01 15:28:00,16048,United Kingdom,12,5.04,2020,12,1,15
545686,2021-03-06 12:09:00,18211,United Kingdom,56,137.9,2021,3,6,12
553861,2021-05-19 13:58:00,13591,United Kingdom,135,314.03,2021,5,19,13
567370,2021-09-20 09:13:00,14236,United Kingdom,272,301.56,2021,9,20,9
560034,2021-07-14 13:35:00,13933,United Kingdom,113,300.99,2021,7,14,13
547419,2021-03-23 10:27:00,15061,United Kingdom,1135,1649.58,2021,3,23,10
565680,2021-09-06 10:27:00,14560,United Kingdom,240,100.8,2021,9,6,10
561244,2021-07-26 11:24:00,13865,United Kingdom,54,100.82,2021,7,26,11
542155,2021-01-26 10:51:00,15777,United Kingdom,112,285.6,2021,1,26,10
572023,2021-10-20 11:03:00,17764,United Kingdom,247,556.85,2021,10,20,11
577749,2021-11-21 14:26:00,16242,United Kingdom,299,534.2,2021,11,21,14
550901,2021-04-21 12:12:00,13389,United Kingdom,115,257.89,2021,4,21,12
555546,2021-06-05 13:09:00,17735,United Kingdom,118,228.3,2021,6,5,13
561900,2021-07-31 15:31:00,16655,United Kingdom,523,638.19,2021,7,31,15
547963,2021-03-28 15:42:00,13037,United Kingdom,158,250.42,2021,3,28,15
575968,2021-11-13 12:47:00,14882,United Kingdom,92,341.8,2021,11,13,12
571745,2021-10-19 10:48:00,14911,Eire,711,1588.75,2021,10,19,10
543115,2021-02-03 13:27:00,14606,United Kingdom,72,120.75,2021,2,3,13
552947,2021-05-12 11:57:00,16943,United Kingdom,20,172.1,2021,5,12,11
550002,2021-04-14 09:30:00,12709,Germany,41,68.0,2021,4,14,9
569539,2021-10-04 15:58:00,18102,United Kingdom,112,557.76,2021,10,4,15
545812,2021-03-07 12:26:00,14214,United Kingdom,313,638.65,2021,3,7,12
569740,2021-10-06 10:52:00,15769,United Kingdom,1600,2924.0,2021,10,6,10
564648,2021-08-26 14:04:00,15641,United Kingdom,466,581.82,2021,8,26,14
551859,2021-05-04 15:37:00,14336,United Kingdom,301,230.03,2021,5,4,15
538070,2020-12-09 14:08:00,16519,United Kingdom,24,103.7,2020,12,9,14
576848,2021-11-16 15:38:00,15051,United Kingdom,124,245.68,2021,11,16,15
546442,2021-03-14 10:38:00,15159,United Kingdom,54,207.3,2021,3,14,10
560422,2021-07-18 15:14:00,16746,United Kingdom,162,300.18,2021,7,18,15
559948,2021-07-14 10:41:00,12653,Israel,633,1430.75,2021,7,14,10
539688,2020-12-21 11:00:00,12678,France,1,150.0,2020,12,21,11
548916,2021-04-05 10:07:00,14849,United Kingdom,377,422.34,2021,4,5,10
565851,2021-09-07 13:06:00,14911,Eire,332,637.29,2021,9,7,13
538909,2020-12-15 10:48:00,13491,United Kingdom,18,97.5,2020,12,15,10
553475,2021-05-17 11:31:00,18102,United Kingdom,306,866.4,2021,5,17,11
536523,2020-12-01 12:50:00,12868,United Kingdom,112,203.3,2020,12,1,12
547571,2021-03-24 09:52:00,16265,United Kingdom,182,432.3,2021,3,24,9
557871,2021-06-23 12:41:00,13458,United Kingdom,130,300.78,2021,6,23,12
553017,2021-05-12 19:01:00,12757,Portugal,311,602.83,2021,5,12,19
549471,2021-04-08 14:39:00,17389,United Kingdom,72,73.5,2021,4,8,14
573924,2021-11-02 09:45:00,15065,United Kingdom,202,299.38,2021,11,2,9
576641,2021-11-16 09:59:00,17549,United Kingdom,150,120.66,2021,11,16,9
574746,2021-11-07 08:30:00,16523,United Kingdom,198,676.8,2021,11,7,8
546019,2021-03-08 17:25:00,14507,United Kingdom,50,39.49,2021,3,8,17
556809,2021-06-14 16:48:00,17179,United Kingdom,82,223.48,2021,6,14,16
567768,2021-09-22 11:17:00,15950,United Kingdom,123,255.84,2021,9,22,11
574661,2021-11-06 11:56:00,13447,United Kingdom,166,430.3,2021,11,6,11
549838,2021-04-12 13:39:00,16705,United Kingdom,48,96.0,2021,4,12,13
547519,2021-03-23 14:46:00,16308,United Kingdom,1000,320.0,2021,3,23,14
577080,2021-11-17 15:24:00,17001,United Kingdom,172,357.6,2021,11,17,15
560048,2021-07-14 15:02:00,13515,United Kingdom,127,132.16,2021,7,14,15
568709,2021-09-28 15:42:00,15036,United Kingdom,176,219.86,2021,9,28,15
578171,2021-11-23 11:36:00,17685,United Kingdom,207,392.4,2021,11,23,11
576400,2021-11-15 10:51:00,13632,United Kingdom,288,452.14,2021,11,15,10
542083,2021-01-25 12:26:00,18008,United Kingdom,355,130.81,2021,1,25,12
579759,2021-11-30 15:02:00,15251,United Kingdom,244,363.88,2021,11,30,15
537628,2020-12-07 15:02:00,16293,United Kingdom,189,378.75,2020,12,7,15
542096,2021-01-25 12:52:00,17236,United Kingdom,141,199.33,2021,1,25,12
576909,2021-11-17 09:49:00,12471,Germany,519,1072.12,2021,11,17,9
560105,2021-07-14 19:23:00,16794,United Kingdom,263,222.13,2021,7,14,19
541709,2021-01-21 11:09:00,17504,United Kingdom,233,441.15,2021,1,21,11
578272,2021-11-23 13:40:00,17463,United Kingdom,126,198.31,2021,11,23,13
555363,2021-06-02 14:15:00,14453,United Kingdom,49,119.93,2021,6,2,14
566033,2021-09-08 13:07:00,16031,United Kingdom,204,243.31,2021,9,8,13
562155,2021-08-03 11:24:00,17940,United Kingdom,648,162.0,2021,8,3,11
561047,2021-07-24 12:46:00,16948,United Kingdom,1368,194.48,2021,7,24,12
568527,2021-09-27 13:21:00,13178,United Kingdom,539,765.0,2021,9,27,13
563382,2021-08-16 10:50:00,18221,United Kingdom,145,169.85,2021,8,16,10
549196,2021-04-07 10:33:00,14911,Eire,271,356.23,2021,4,7,10
577599,2021-11-21 08:26:00,15738,United Kingdom,202,316.9,2021,11,21,8
569567,2021-10-05 09:56:00,16059,United Kingdom,40,105.3,2021,10,5,9
576347,2021-11-14 15:38:00,13268,United Kingdom,2,8.2,2021,11,14,15
544569,2021-02-21 12:58:00,16980,United Kingdom,418,732.36,2021,2,21,12
542865,2021-02-01 12:08:00,12929,United Kingdom,37,117.85,2021,2,1,12
562789,2021-08-09 13:50:00,14646,Netherlands,7807,12341.21,2021,8,9,13
567798,2021-09-22 12:00:00,13089,United Kingdom,331,886.63,2021,9,22,12
565577,2021-09-05 12:24:00,14177,United Kingdom,2,7.5,2021,9,5,12
550915,2021-04-21 13:30:00,13263,United Kingdom,69,133.59,2021,4,21,13
541293,2021-01-17 13:39:00,15311,United Kingdom,145,394.57,2021,1,17,13
578688,2021-11-25 09:27:00,16719,United Kingdom,235,292.67,2021,11,25,9
560896,2021-07-21 17:26:00,15623,United Kingdom,125,301.03,2021,7,21,17
561711,2021-07-29 11:45:00,13414,United Kingdom,368,532.8,2021,7,29,11
575701,2021-11-10 16:59:00,13396,United Kingdom,461,973.72,2021,11,10,16
547886,2021-03-28 09:21:00,13652,United Kingdom,178,329.44,2021,3,28,9
562467,2021-08-05 11:50:00,13513,United Kingdom,109,205.1,2021,8,5,11
563927,2021-08-21 15:01:00,14013,United Kingdom,258,199.22,2021,8,21,15
581471,2021-12-08 19:29:00,14702,United Kingdom,76,199.29,2021,12,8,19
573230,2021-10-28 11:55:00,13199,United Kingdom,48,85.92,2021,10,28,11
568656,2021-09-28 12:21:00,14911,Eire,70,141.62,2021,9,28,12
554502,2021-05-24 14:47:00,14289,United Kingdom,26,124.68,2021,5,24,14
581017,2021-12-07 10:06:00,14910,United Kingdom,80,110.8,2021,12,7,10
546428,2021-03-13 14:55:00,12681,France,185,343.29,2021,3,13,14
571090,2021-10-13 15:28:00,15271,United Kingdom,34,79.5,2021,10,13,15
540856,2021-01-12 10:16:00,16655,United Kingdom,373,812.25,2021,1,12,10
568242,2021-09-26 12:11:00,14931,Channel Islands,181,261.65,2021,9,26,12
550713,2021-04-20 11:11:00,15159,United Kingdom,1,12.5,2021,4,20,11
542100,2021-01-25 13:15:00,15339,United Kingdom,159,257.9,2021,1,25,13
549833,2021-04-12 13:19:00,13458,United Kingdom,666,1015.14,2021,4,12,13
571918,2021-10-19 16:05:00,17350,United Kingdom,240,156.24,2021,10,19,16
537759,2020-12-08 11:42:00,13126,United Kingdom,108,203.64,2020,12,8,11
555940,2021-06-08 10:10:00,14191,United Kingdom,98,357.6,2021,6,8,10
560834,2021-07-21 12:15:00,16523,United Kingdom,204,484.4,2021,7,21,12
554366,2021-05-24 10:24:00,17450,United Kingdom,3084,9468.48,2021,5,24,10
566520,2021-09-13 11:26:00,17757,United Kingdom,61,161.19,2021,9,13,11
537471,2020-12-07 10:51:00,14344,United Kingdom,3,17.85,2020,12,7,10
562034,2021-08-02 09:14:00,12449,Belgium,267,777.95,2021,8,2,9
568332,2021-09-26 14:30:00,13434,United Kingdom,240,461.4,2021,9,26,14
537456,2020-12-07 09:43:00,17450,United Kingdom,780,1989.24,2020,12,7,9
569693,2021-10-05 15:18:00,17837,United Kingdom,105,250.95,2021,10,5,15
573131,2021-10-27 16:44:00,15622,United Kingdom,106,381.95,2021,10,27,16
540099,2021-01-04 16:41:00,15808,United Kingdom,322,733.92,2021,1,4,16
546220,2021-03-10 12:16:00,16745,United Kingdom,584,541.1,2021,3,10,12
560252,2021-07-17 12:35:00,13468,United Kingdom,61,115.87,2021,7,17,12
569653,2021-10-05 12:52:00,12451,Switzerland,1650,2539.56,2021,10,5,12
575475,2021-11-09 16:03:00,17702,United Kingdom,302,485.6,2021,11,9,16
575703,2021-11-10 16:59:00,13767,United Kingdom,902,1735.3,2021,11,10,16
556279,2021-06-09 19:55:00,14562,United Kingdom,59,215.39,2021,6,9,19
578951,2021-11-27 14:40:00,15514,United Kingdom,277,499.23,2021,11,27,14
578947,2021-11-27 13:49:00,14547,United Kingdom,438,534.58,2021,11,27,13
570129,2021-10-07 13:34:00,12885,United Kingdom,293,519.47,2021,10,7,13
